year,country,index,rgdppc,unrate,trade,pop,,,,,,,,,,,,,,,,,,,,,,,,
2000,GBR,1,38921.90,5.56,52.52,58892514,,,,,,,,,,,,,,,,,,,,,,,,
2001,GBR,1,39769.87,4.70,52.82,59119673,,,,,,,,,,,,,,,,,,,,,,,,
2002,GBR,1,40312.98,5.04,51.38,59370479,,,,,,,,,,,,,,,,,,,,,,,,
2003,GBR,1,41390.61,4.81,50.24,59647577,,,,,,,,,,,,,,,,,,,,,,,,
2004,GBR,1,42167.36,4.59,50.45,59987905,,,,,,,,,,,,,,,,,,,,,,,,
2005,GBR,1,43023.23,4.88,52.68,60401206,,,,,,,,,,,,,,,,,,,,,,,,
2006,GBR,1,43724.90,5.47,56.91,60846820,,,,,,,,,,,,,,,,,,,,,,,,
2007,GBR,1,44524.57,5.40,52.96,61322463,,,,,,,,,,,,,,,,,,,,,,,,
2008,GBR,1,44065.62,5.75,56.70,61806995,,,,,,,,,,,,,,,,,,,,,,,,
2009,GBR,1,41712.83,7.68,55.00,62276270,,,,,,,,,,,,,,,,,,,,,,,,
2010,GBR,1,42311.43,7.97,59.27,62766365,,,,,,,,,,,,,,,,,,,,,,,,
2011,GBR,1,42459.96,8.20,63.57,63258810,,,,,,,,,,,,,,,,,,,,,,,,
2012,GBR,1,42802.02,8.28,62.23,63700215,,,,,,,,,,,,,,,,,,,,,,,,
2013,GBR,1,43281.58,7.75,62.00,64128273,,,,,,,,,,,,,,,,,,,,,,,,
2014,GBR,1,44336.54,6.40,59.09,64602298,,,,,,,,,,,,,,,,,,,,,,,,
2015,GBR,1,44964.39,5.55,57.20,65116219,,,,,,,,,,,,,,,,,,,,,,,,
2016,GBR,1,45482.47,4.91,59.70,65611593,,,,,,,,,,,,,,,,,,,,,,,,
2017,GBR,1,46374.58,4.50,63.12,66058859,,,,,,,,,,,,,,,,,,,,,,,,
2018,GBR,1,46742.15,4.15,64.54,66460344,,,,,,,,,,,,,,,,,,,,,,,,
2019,GBR,1,47234.25,3.66,64.67,66836327,,,,,,,,,,,,,,,,,,,,,,,,
2020,GBR,1,42215.88,4.52,58.78,67081234,,,,,,,,,,,,,,,,,,,,,,,,
2021,GBR,1,45873.87,4.87,58.58,67026292,,,,,,,,,,,,,,,,,,,,,,,,
2022,GBR,1,47551.23,3.77,68.88,67791000,,,,,,,,,,,,,,,,,,,,,,,,
2023,GBR,1,47322.67,4.03,63.88,68350000,,,,,,,,,,,,,,,,,,,,,,,,
2000,FRA,2,33255.14,10.22,57.79,60918661,,,,,,,,,,,,,,,,,,,,,,,,
2001,FRA,2,33640.67,8.61,56.89,61364377,,,,,,,,,,,,,,,,,,,,,,,,
2002,FRA,2,33753.58,8.70,55.13,61812142,,,,,,,,,,,,,,,,,,,,,,,,
2003,FRA,2,33840.62,8.31,52.60,62249855,,,,,,,,,,,,,,,,,,,,,,,,
2004,FRA,2,34557.15,8.91,53.75,62707588,,,,,,,,,,,,,,,,,,,,,,,,
2005,FRA,2,34946.04,8.88,55.82,63180854,,,,,,,,,,,,,,,,,,,,,,,,
2006,FRA,2,35645.42,8.83,57.87,63622342,,,,,,,,,,,,,,,,,,,,,,,,
2007,FRA,2,36322.17,8.01,58.15,64016890,,,,,,,,,,,,,,,,,,,,,,,,
2008,FRA,2,36257.37,7.39,59.18,64375116,,,,,,,,,,,,,,,,,,,,,,,,
2009,FRA,2,35052.85,9.12,52.20,64706436,,,,,,,,,,,,,,,,,,,,,,,,
2010,FRA,2,35578.20,9.28,56.59,65026211,,,,,,,,,,,,,,,,,,,,,,,,
2011,FRA,2,36269.96,9.23,60.61,65340830,,,,,,,,,,,,,,,,,,,,,,,,
2012,FRA,2,36161.29,9.84,61.66,65657659,,,,,,,,,,,,,,,,,,,,,,,,
2013,FRA,2,36256.09,9.91,61.82,65997932,,,,,,,,,,,,,,,,,,,,,,,,
2014,FRA,2,36444.39,10.27,62.20,66312067,,,,,,,,,,,,,,,,,,,,,,,,
2015,FRA,2,36702.43,10.35,63.50,66548272,,,,,,,,,,,,,,,,,,,,,,,,
2016,FRA,2,36920.53,10.06,63.34,66724104,,,,,,,,,,,,,,,,,,,,,,,,
2017,FRA,2,37580.60,9.41,65.40,66918020,,,,,,,,,,,,,,,,,,,,,,,,
2018,FRA,2,38062.44,9.02,66.80,67158348,,,,,,,,,,,,,,,,,,,,,,,,
2019,FRA,2,38705.21,8.42,66.43,67382061,,,,,,,,,,,,,,,,,,,,,,,,
2020,FRA,2,35709.20,8.01,58.84,67601110,,,,,,,,,,,,,,,,,,,,,,,,
2021,FRA,2,38030.86,7.87,63.79,67842811,,,,,,,,,,,,,,,,,,,,,,,,
2022,FRA,2,38881.22,7.30,75.79,68065015,,,,,,,,,,,,,,,,,,,,,,,,
2023,FRA,2,39117.48,7.34,70.56,68287487,,,,,,,,,,,,,,,,,,,,,,,,
2000,NED,3,40665.34,2.73,125.67,15925513,,,,,,,,,,,,,,,,,,,,,,,,
